Month of December 2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Unit Supply,,,Unit Demand,,,Unit Occupancy %,,,Unit Average Daily Rate,,
,,,2019,2018,% Change,2019,2018,% Change,2019,2018,Percentage Pt. Change,2019,2018,% Change
,,,,,,,,,,,,,,
,State of Hawai'i,,"856,798","770,515",11.20%,"645,575","568,012",13.70%,75.30%,73.70%,1.60%,$234.20,$193.82,20.80%
,,,,,,,,,,,,,,
,O'ahu ,,"237,306","261,059",-9.10%,"179,700","191,781",-6.30%,75.70%,73.50%,2.30%,$191.40,$151.49,26.30%
,O'ahu ,Waik'k' ,"120,086","104,997",14.40%,"94,536","79,138",19.50%,78.70%,75.40%,3.40%,$165.60,$147.12,12.60%
,,,,,,,,,,,,,,
,Maui County,,"293,100","229,736",27.60%,"231,419","177,208",30.60%,79.00%,77.10%,1.80%,$278.36,$241.93,15.10%
,Maui County,Wailea/K'hei,"134,565","107,022",25.70%,"111,356","83,463",33.40%,82.80%,78.00%,4.80%,$265.49,$237.31,11.90%
,Maui County,Lahaina/K'anapali/ N'pili/Kapalua,"123,342","89,633",37.60%,"93,086","69,028",34.90%,75.50%,77.00%,-1.50%,$314.29,$270.22,16.30%
,,,,,,,,,,,,,,
,Island of Hawai'i,,"204,394","184,859",10.60%,"146,841","124,371",18.10%,71.80%,67.30%,4.60%,$181.46,$157.86,14.90%
,Island of Hawai'i,Kona,"96,057","85,203",12.70%,"73,055","62,559",16.80%,76.10%,73.40%,2.60%,$150.46,$141.52,6.30%
,Island of Hawai'i,Hilo/Honoka?a,"45,053","43,605",3.30%,"29,739","26,447",12.40%,66.00%,60.70%,5.40%,$107.79,$93.92,14.80%
,,,,,,,,,,,,,,
,Kaua'i ,,"121,998","94,861",28.60%,"87,615","74,652",17.40%,71.80%,78.70%,-6.90%,$293.75,$248.27,18.30%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
