Month of July 2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Unit Supply,,,Unit Demand,,,Unit Occupancy %,,,Unit Average Daily Rate,,
,,,2019,2018,% Change,2019,2018,% Change,2019,2018,Percentage Pt. Change,2019,2018,% Change
,,,,,,,,,,,,,,
,State of Hawai'i,,"905,254","690,082",31.20%,"704,377","501,961",40.30%,77.80%,72.70%,5.10%,$207.22,$161.82,28.10%
,,,,,,,,,,,,,,
,O'ahu ,,"298,595","216,825",37.70%,"239,586","164,106",46.00%,80.20%,75.70%,4.60%,$178.81,$116.62,53.30%
,O'ahu ,Waik'k',"127,477","85,719",48.70%,"105,270","68,970",52.60%,82.60%,80.50%,2.10%,$153.65,$117.84,30.40%
,,,,,,,,,,,,,,
,Maui County,,"286,577","221,524",29.40%,"233,538","167,728",39.20%,81.50%,75.70%,5.80%,$235.70,$184.92,27.50%
,Maui County,Wailea/K'hei,"138,387","106,457",30.00%,"115,538","81,106",42.50%,83.50%,76.20%,7.30%,$221.11,$184.61,19.80%
,Maui County,Lahaina/K'anapali/ N'pili/Kapalua,"113,516","83,947",35.20%,"91,378","64,977",40.60%,80.50%,77.40%,3.10%,$270.33,$198.98,35.90%
,,,,,,,,,,,,,,
,Island of Hawai'i,,"196,857","163,893",20.10%,"135,068","99,898",35.20%,68.60%,61.00%,7.70%,$163.15,$140.01,16.50%
,Island of Hawai'i,Kona,"97,367","78,982",23.30%,"70,319","48,216",45.80%,72.20%,61.00%,11.20%,$131.96,$115.84,13.90%
,Island of Hawai'i,Hilo/Honoka'a,"36,194","32,283",12.10%,"21,890","18,592",17.70%,60.50%,57.60%,2.90%,$96.39,$77.12,25.00%
,,,,,,,,,,,,,,
,Kaua'i ,,"123,225","87,840",40.30%,"96,185","70,229",37.00%,78.10%,80.00%,-1.90%,$270.75,$243.29,11.30%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
